t_ms,rawX,rawY,rawZ,rawG,sixX,sixY,sixZ,sixG,calX,calY,calZ,calG,calByte,zeroRef
7,513,500,383,500,510,500,383,500,512,502,399,512,0,512
16,513,500,383,500,510,500,383,500,512,502,399,512,0,512
26,513,500,383,500,510,500,383,500,512,502,399,512,0,512
36,513,500,383,500,510,500,383,500,512,502,399,512,0,512
46,513,499,383,500,510,499,383,500,512,501,399,512,0,512
56,513,499,383,500,510,499,383,500,512,501,399,512,0,512
66,513,500,383,500,510,500,383,500,512,502,399,512,0,512
76,513,500,383,500,510,500,383,500,512,502,399,512,0,512
86,513,501,383,500,510,501,383,500,512,503,399,512,0,512
96,513,501,383,500,510,501,383,500,512,503,399,512,0,512
106,513,500,383,500,510,500,383,500,512,502,399,512,0,512
116,513,500,383,500,510,500,383,500,512,502,399,512,0,512
126,513,501,383,500,510,501,383,500,512,503,399,512,0,512
136,513,501,383,500,510,501,383,500,512,503,399,512,0,512
146,513,500,383,500,510,500,383,500,512,502,399,512,0,512
156,513,500,383,500,510,500,383,500,512,502,399,512,0,512
166,513,500,383,500,510,500,383,500,512,502,399,512,0,512
176,513,500,383,500,510,500,383,500,512,502,399,512,0,512
186,513,500,383,500,510,500,383,500,512,502,399,512,0,512
196,513,500,383,500,510,500,383,500,512,502,399,512,0,512
206,513,500,383,500,510,500,383,500,512,502,399,512,0,512
216,513,500,383,500,510,500,383,500,512,502,399,512,0,512
226,513,500,383,500,510,500,383,500,512,502,399,512,0,512
236,513,500,383,500,510,500,383,500,512,502,399,512,0,512
246,513,500,383,500,510,500,383,500,512,502,399,512,0,512
256,513,500,383,500,510,500,383,500,512,502,399,512,0,512
266,513,500,383,500,510,500,383,500,512,502,399,512,0,512
276,513,500,383,500,510,500,383,500,512,502,399,512,0,512
286,513,500,383,500,510,500,383,500,512,502,399,512,0,512
296,513,500,383,500,510,500,383,500,512,502,399,512,0,512
306,513,501,382,500,510,501,382,500,512,503,398,512,0,512
316,513,501,382,500,510,501,382,500,512,503,398,512,0,512
327,513,500,383,500,510,500,383,500,512,502,399,524,0,512
336,513,500,383,500,510,500,383,500,512,502,399,524,0,512
346,513,500,383,500,510,500,383,500,512,502,399,524,0,512
356,513,500,383,500,510,500,383,500,512,502,399,524,0,512
366,514,500,383,500,509,500,383,500,513,502,399,524,0,512
376,514,500,383,500,509,500,383,500,513,502,399,524,0,512
386,513,500,383,500,510,500,383,500,512,502,399,524,0,512
396,513,500,383,500,510,500,383,500,512,502,399,524,0,512
406,513,500,383,500,510,500,383,500,512,502,399,524,0,512
416,513,500,383,500,510,500,383,500,512,502,399,524,0,512
426,513,500,383,500,510,500,383,500,512,502,399,524,0,512
436,513,500,383,500,510,500,383,500,512,502,399,524,0,512
446,513,500,383,500,510,500,383,500,512,502,399,524,0,512
456,513,500,383,500,510,500,383,500,512,502,399,524,0,512
466,513,500,383,500,510,500,383,500,512,502,399,524,0,512
477,513,500,383,500,510,500,383,500,512,502,399,524,0,512
486,513,500,383,500,510,500,383,500,512,502,399,524,0,512
496,513,500,383,500,510,500,383,500,512,502,399,524,0,512
506,513,500,383,500,510,500,383,500,512,502,399,524,0,512
516,513,500,383,500,510,500,383,500,512,502,399,524,0,512
526,513,500,382,500,510,500,382,500,512,502,398,524,0,512
536,513,500,382,500,510,500,382,500,512,502,398,524,0,512
546,513,501,383,500,510,501,383,500,512,503,399,524,0,512
556,513,501,383,500,510,501,383,500,512,503,399,524,0,512
566,513,499,383,500,510,499,383,500,512,501,399,524,0,512
576,513,499,383,500,510,499,383,500,512,501,399,524,0,512
586,513,500,383,500,510,500,383,500,512,502,399,524,0,512
596,513,500,383,500,510,500,383,500,512,502,399,524,0,512
606,513,500,383,500,510,500,383,500,512,502,399,524,0,512
616,513,500,383,500,510,500,383,500,512,502,399,524,0,512
626,513,500,383,500,510,500,383,500,512,502,399,524,0,512
636,513,500,383,500,510,500,383,500,512,502,399,524,0,512
646,513,500,383,500,510,500,383,500,512,502,399,524,0,512
656,513,500,383,500,510,500,383,500,512,502,399,524,0,512
666,514,500,384,500,509,500,384,500,513,502,399,524,0,512
676,514,500,384,500,509,500,384,500,513,502,399,524,0,512
686,513,500,383,500,510,500,383,500,512,502,399,524,0,512
696,513,500,383,500,510,500,383,500,512,502,399,524,0,512
706,513,500,383,500,510,500,383,500,512,502,399,524,0,512
716,513,500,383,500,510,500,383,500,512,502,399,524,0,512
726,513,500,382,500,510,500,382,500,512,502,398,524,0,512
736,513,500,382,500,510,500,382,500,512,502,398,524,0,512
746,513,500,383,500,510,500,383,500,512,502,399,524,0,512
756,513,500,383,500,510,500,383,500,512,502,399,524,0,512
766,513,500,382,500,510,500,382,500,512,502,398,524,0,512
776,513,500,382,500,510,500,382,500,512,502,398,524,0,512
786,513,500,382,500,510,500,382,500,512,502,398,524,0,512
796,513,500,382,500,510,500,382,500,512,502,398,524,0,512
806,513,501,383,500,510,501,383,500,512,503,399,524,0,512
816,513,501,383,500,510,501,383,500,512,503,399,524,0,512
826,513,501,383,500,510,501,383,500,512,503,399,524,0,512
836,513,501,383,500,510,501,383,500,512,503,399,524,0,512
846,513,500,383,500,510,500,383,500,512,502,399,524,0,512
856,513,500,383,500,510,500,383,500,512,502,399,524,0,512
866,513,500,383,500,510,500,383,500,512,502,399,524,0,512
876,513,500,383,500,510,500,383,500,512,502,399,524,0,512
886,513,500,382,500,510,500,382,500,512,502,398,524,0,512
896,513,500,382,500,510,500,382,500,512,502,398,524,0,512
906,513,501,383,500,510,501,383,500,512,503,399,524,0,512
916,513,501,383,500,510,501,383,500,512,503,399,524,0,512
926,513,500,383,500,510,500,383,500,512,502,399,524,0,512
936,513,500,383,500,510,500,383,500,512,502,399,524,0,512
946,514,500,383,500,509,500,383,500,513,502,399,524,0,512
957,514,500,383,500,509,500,383,500,513,502,399,524,0,500
966,513,499,383,500,510,499,383,500,512,501,399,512,0,500
976,513,499,383,500,510,499,383,500,512,501,399,512,0,500
986,513,500,383,500,510,500,383,500,512,502,399,512,0,500
996,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1006,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1016,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1026,513,499,383,500,510,499,383,500,512,501,399,512,0,500
1036,513,499,383,500,510,499,383,500,512,501,399,512,0,500
1046,513,501,383,500,510,501,383,500,512,503,399,512,0,500
1056,513,501,383,500,510,501,383,500,512,503,399,512,0,500
1066,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1076,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1086,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1096,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1106,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1116,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1126,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1136,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1146,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1156,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1166,513,499,382,500,510,499,382,500,512,501,398,512,0,500
1176,513,499,382,500,510,499,382,500,512,501,398,512,0,500
1186,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1196,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1206,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1216,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1226,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1236,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1246,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1256,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1266,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1276,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1286,513,500,382,500,510,500,382,500,512,502,398,512,0,500
1296,513,500,382,500,510,500,382,500,512,502,398,512,0,500
1306,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1316,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1326,513,500,382,500,510,500,382,500,512,502,398,512,0,500
1336,513,500,382,500,510,500,382,500,512,502,398,512,0,500
1346,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1356,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1366,512,500,383,500,511,500,383,500,512,502,399,512,0,500
1376,512,500,383,500,511,500,383,500,512,502,399,512,0,500
1386,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1396,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1406,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1416,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1426,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1436,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1447,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1456,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1466,513,500,384,500,510,500,384,500,512,502,399,512,0,500
1476,513,500,384,500,510,500,384,500,512,502,399,512,0,500
1486,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1496,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1506,513,501,382,500,510,501,382,500,512,503,398,512,0,500
1516,513,501,382,500,510,501,382,500,512,503,398,512,0,500
1526,513,500,382,500,510,500,382,500,512,502,398,512,0,500
1536,513,500,382,500,510,500,382,500,512,502,398,512,0,500
1546,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1556,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1566,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1576,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1586,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1596,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1606,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1616,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1626,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1636,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1646,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1656,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1666,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1676,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1686,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1696,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1706,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1716,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1726,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1736,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1746,513,501,383,500,510,501,383,500,512,503,399,512,0,500
1756,513,501,383,500,510,501,383,500,512,503,399,512,0,500
1766,513,500,382,500,510,500,382,500,512,502,398,512,0,500
1776,513,500,382,500,510,500,382,500,512,502,398,512,0,500
1786,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1796,514,500,383,500,509,500,383,500,513,502,399,512,0,500
1806,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1816,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1826,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1836,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1846,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1856,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1866,513,500,383,500,510,500,383,500,512,502,399,512,0,500
1876,513,500,383,500,510,500,383,500,512,502,399,512,0,500
