t_ms,rawX,rawY,rawZ,rawG,sixX,sixY,sixZ,sixG,calX,calY,calZ,calG,calByte,zeroRef
1706,508,488,397,5,515,488,397,5,512,498,400,1023,119,521
1707,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1714,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1724,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1734,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1744,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1754,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1764,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1774,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1784,508,489,397,491,515,489,397,491,512,499,400,542,119,521
1794,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1804,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1814,508,489,397,491,515,489,397,491,512,499,400,542,119,521
1824,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1834,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1844,509,489,397,491,514,489,397,491,512,499,400,542,119,521
1854,509,488,397,491,514,488,397,491,512,498,400,542,119,521
1864,508,489,397,491,515,489,397,491,512,499,400,542,119,521
1874,509,489,397,491,514,489,397,491,512,499,400,542,119,521
1884,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1894,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1904,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1914,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1924,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1934,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1944,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1954,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1964,509,488,397,491,514,488,397,491,512,498,400,542,119,521
1974,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1984,508,488,397,491,515,488,397,491,512,498,400,542,119,521
1994,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2004,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2014,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2024,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2034,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2044,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2054,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2064,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2074,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2084,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2094,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2104,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2114,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2124,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2134,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2144,509,489,397,491,514,489,397,491,512,499,400,542,119,521
2154,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2164,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2174,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2184,509,489,397,491,514,489,397,491,512,499,400,542,119,521
2194,509,488,397,491,514,488,397,491,512,498,400,542,119,521
2204,509,489,397,491,514,489,397,491,512,499,400,542,119,521
2214,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2224,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2234,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2244,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2254,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2264,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2274,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2284,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2294,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2304,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2314,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2324,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2334,508,488,397,492,515,488,397,492,512,498,400,541,119,521
2344,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2354,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2364,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2374,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2384,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2394,508,488,397,492,515,488,397,492,512,498,400,541,119,521
2404,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2414,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2424,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2434,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2444,508,489,397,491,515,489,397,491,512,499,400,542,119,521
2454,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2464,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2474,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2484,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2494,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2504,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2514,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2524,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2534,509,489,397,491,514,489,397,491,512,499,400,542,119,521
2544,509,488,397,491,514,488,397,491,512,498,400,542,119,521
2554,509,488,397,491,514,488,397,491,512,498,400,542,119,521
2564,509,489,397,491,514,489,397,491,512,499,400,542,119,521
2574,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2584,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2594,509,488,397,491,514,488,397,491,512,498,400,542,119,521
2604,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2614,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2624,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2634,508,488,397,492,515,488,397,492,512,498,400,541,119,521
2644,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2654,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2664,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2674,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2684,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2694,508,488,397,491,515,488,397,491,512,498,400,542,119,521
2704,508,488,397,491,515,488,397,491,512,498,400,542,119,521
