t_ms,rawX,rawY,rawZ,rawG,sixX,sixY,sixZ,sixG,calX,calY,calZ,calG,calByte,zeroRef
2227,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2228,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2236,510,502,379,499,513,502,379,499,514,498,399,512,0,499
2246,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2256,510,502,378,499,513,502,378,499,514,498,399,512,0,499
2266,510,502,379,499,513,502,379,499,514,498,399,512,0,499
2276,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2286,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2296,510,501,379,499,513,501,379,499,514,497,399,512,0,499
2306,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2316,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2326,510,502,379,499,513,502,379,499,514,498,399,512,0,499
2336,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2346,510,502,379,498,513,502,379,498,514,498,399,513,0,499
2356,510,502,379,499,513,502,379,499,514,498,399,512,0,499
2366,510,502,379,498,513,502,379,498,514,498,399,513,0,499
2376,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2386,510,502,379,499,513,502,379,499,514,498,399,512,0,499
2396,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2406,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2416,510,502,378,499,513,502,378,499,514,498,399,512,0,499
2426,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2436,510,502,379,498,513,502,379,498,514,498,399,513,0,499
2446,510,502,379,499,513,502,379,499,514,498,399,512,0,499
2456,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2466,510,502,379,498,513,502,379,498,514,498,399,513,0,499
2476,510,502,379,499,513,502,379,499,514,498,399,512,0,499
2486,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2496,510,502,379,498,513,502,379,498,514,498,399,513,0,499
2506,510,501,379,499,513,501,379,499,514,497,399,512,0,499
2516,510,501,379,498,513,501,379,498,514,497,399,513,0,499
2526,510,502,379,498,513,502,379,498,514,498,399,513,0,499
2536,510,501,379,499,513,501,379,499,514,497,399,512,0,499
2546,510,502,379,498,513,502,379,498,514,498,399,513,0,499
2556,510,502,379,498,513,502,379,498,514,498,399,513,0,499
2566,510,502,379,499,513,502,379,499,514,498,399,512,0,499
2576,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2586,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2596,510,502,379,499,513,502,379,499,514,498,399,512,0,499
2606,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2616,510,502,379,498,513,502,379,498,514,498,399,513,0,499
2626,510,502,379,499,513,502,379,499,514,498,399,512,0,499
2636,510,502,378,498,513,502,378,498,514,498,399,513,0,499
2646,510,502,379,498,513,502,379,498,514,498,399,513,0,499
2656,510,502,379,499,513,502,379,499,514,498,399,512,0,499
