t_ms,rawX,rawY,rawZ,rawG,sixX,sixY,sixZ,sixG,calX,calY,calZ,calG,calByte,zeroRef
2121,511,511,511,511,512,511,511,511,515,512,512,522,127,521
2122,504,495,400,358,519,495,400,358,510,498,399,675,127,521
2123,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2133,504,495,401,361,519,495,401,361,510,498,401,672,127,521
2143,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2153,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2163,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2173,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2183,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2193,505,495,400,361,518,495,400,361,511,498,399,672,127,521
2203,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2213,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2223,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2233,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2243,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2253,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2263,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2273,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2283,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2293,505,495,400,361,518,495,400,361,511,498,399,672,127,521
2303,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2313,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2323,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2333,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2343,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2353,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2363,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2373,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2383,505,495,400,361,518,495,400,361,511,498,399,672,127,521
2393,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2403,505,495,400,361,518,495,400,361,511,498,399,672,127,521
2413,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2423,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2433,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2443,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2453,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2463,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2473,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2483,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2493,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2503,504,495,400,361,519,495,400,361,510,498,399,672,127,521
2513,504,495,400,361,519,495,400,361,510,498,399,672,127,521
