t_ms,rawX,rawY,rawZ,rawG,sixX,sixY,sixZ,sixG,calX,calY,calZ,calG,calByte,zeroRef
13192,494,475,396,482,529,475,396,482,509,493,409,511,1,507
13193,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13195,494,474,396,482,529,474,396,482,509,492,409,511,1,507
13205,494,475,396,482,529,475,396,482,509,493,409,511,1,507
13215,494,474,396,482,529,474,396,482,509,492,409,511,1,507
13225,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13235,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13245,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13255,494,474,396,482,529,474,396,482,509,492,409,511,1,507
13265,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13275,494,475,396,482,529,475,396,482,509,493,409,511,1,507
13285,494,475,396,482,529,475,396,482,509,493,409,511,1,507
13295,494,475,396,482,529,475,396,482,509,493,409,511,1,507
13305,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13315,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13325,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13335,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13345,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13355,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13365,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13375,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13385,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13395,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13405,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13415,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13425,494,475,396,482,529,475,396,482,509,493,409,511,1,507
13435,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13445,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13455,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13465,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13475,494,475,396,482,529,475,396,482,509,493,409,511,1,507
13485,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13495,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13505,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13515,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13525,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13535,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13545,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13555,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13565,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13575,494,474,396,482,529,474,396,482,509,492,409,511,1,507
13585,494,474,396,482,529,474,396,482,509,492,409,511,1,507
13595,494,475,396,482,529,475,396,482,509,493,409,511,1,507
13605,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13615,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13625,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13635,494,475,396,483,529,475,396,483,509,493,409,510,1,507
13645,494,475,396,482,529,475,396,482,509,493,409,511,1,507
13655,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13665,494,474,396,483,529,474,396,483,509,492,409,510,1,507
13675,494,474,396,483,529,474,396,483,509,492,409,510,1,507
