t_ms,rawX,rawY,rawZ,rawG,sixX,sixY,sixZ,sixG,calX,calY,calZ,calG,calByte,zeroRef
1340,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1341,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1342,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1343,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1344,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1345,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1346,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1347,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1348,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1349,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1350,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1351,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1352,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1353,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1354,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1355,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1356,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1357,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1359,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1360,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1361,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1362,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1363,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1364,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1366,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1367,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1368,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1369,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1370,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1371,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1373,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1374,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1375,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1376,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1377,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1378,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1379,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1380,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1381,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1382,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1383,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1384,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1385,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1386,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1387,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1388,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1389,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1391,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1392,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1393,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1394,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1395,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1396,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1398,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1399,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1400,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1401,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1402,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1403,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1405,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1406,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1407,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1408,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1409,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1410,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1411,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1412,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1413,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1414,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1415,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1416,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1417,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1418,512,512,384,512,511,512,384,512,512,512,399,512,127,512
1419,512,512,384,512,511,512,384,512,512,512,399,512,127,512
