t_ms,rawX,rawY,rawZ,rawG,sixX,sixY,sixZ,sixG,calX,calY,calZ,calG,calByte,zeroRef
3995,529,497,384,500,494,497,384,500,527,499,399,524,0,512
3999,513,495,384,500,510,495,384,500,512,497,399,524,0,512
4009,513,495,384,500,510,495,384,500,512,497,399,524,0,512
4019,513,495,384,500,510,495,384,500,512,497,399,524,0,512
4029,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4039,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4049,513,496,384,500,510,496,384,500,512,498,399,524,0,512
4059,513,496,384,500,510,496,384,500,512,498,399,524,0,512
4069,513,494,384,500,510,494,384,500,512,497,399,524,0,512
4079,513,494,384,500,510,494,384,500,512,497,399,524,0,512
4089,512,495,383,500,511,495,383,500,512,497,399,524,0,512
4099,512,495,383,500,511,495,383,500,512,497,399,524,0,512
4109,512,495,384,500,511,495,384,500,512,497,399,524,0,512
4119,512,495,384,500,511,495,384,500,512,497,399,524,0,512
4129,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4139,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4149,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4159,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4169,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4179,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4189,514,495,383,500,509,495,383,500,513,497,399,524,0,512
4199,514,495,383,500,509,495,383,500,513,497,399,524,0,512
4209,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4219,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4229,513,496,384,500,510,496,384,500,512,498,399,524,0,512
4239,513,496,384,500,510,496,384,500,512,498,399,524,0,512
4249,513,496,384,500,510,496,384,500,512,498,399,524,0,512
4259,513,496,384,500,510,496,384,500,512,498,399,524,0,512
4269,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4279,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4289,514,495,383,500,509,495,383,500,513,497,399,524,0,512
4299,514,495,383,500,509,495,383,500,513,497,399,524,0,512
4309,514,495,384,500,509,495,384,500,513,497,399,524,0,512
4319,514,495,384,500,509,495,384,500,513,497,399,524,0,512
4329,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4339,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4349,512,496,384,500,511,496,384,500,512,498,399,524,0,512
4359,512,496,384,500,511,496,384,500,512,498,399,524,0,512
4369,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4379,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4389,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4399,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4409,514,494,383,500,509,494,383,500,513,497,399,524,0,512
4419,514,494,383,500,509,494,383,500,513,497,399,524,0,512
4429,513,496,384,500,510,496,384,500,512,498,399,524,0,512
4439,513,496,384,500,510,496,384,500,512,498,399,524,0,512
4449,514,496,383,500,509,496,383,500,513,498,399,524,0,512
4459,514,496,383,500,509,496,383,500,513,498,399,524,0,512
4469,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4479,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4489,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4499,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4509,514,495,384,500,509,495,384,500,513,497,399,524,0,512
4519,514,495,384,500,509,495,384,500,513,497,399,524,0,512
4529,514,495,383,500,509,495,383,500,513,497,399,524,0,512
4539,514,495,383,500,509,495,383,500,513,497,399,524,0,512
4549,514,495,383,500,509,495,383,500,513,497,399,524,0,512
4559,514,495,383,500,509,495,383,500,513,497,399,524,0,512
4569,512,496,383,500,511,496,383,500,512,498,399,524,0,512
4579,512,496,383,500,511,496,383,500,512,498,399,524,0,512
4589,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4599,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4609,514,495,383,500,509,495,383,500,513,497,399,524,0,512
4619,514,495,383,500,509,495,383,500,513,497,399,524,0,512
4629,513,494,383,500,510,494,383,500,512,497,399,524,0,512
4639,513,494,383,500,510,494,383,500,512,497,399,524,0,512
4649,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4659,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4669,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4679,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4689,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4699,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4709,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4719,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4729,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4739,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4749,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4759,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4769,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4779,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4789,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4799,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4809,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4819,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4829,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4839,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4849,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4859,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4869,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4879,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4889,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4899,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4909,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4919,513,496,383,500,510,496,383,500,512,498,399,524,0,512
4929,513,495,384,500,510,495,384,500,512,497,399,524,0,512
4939,513,495,384,500,510,495,384,500,512,497,399,524,0,512
4949,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4959,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4969,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4979,513,495,383,500,510,495,383,500,512,497,399,524,0,512
4989,512,495,383,500,511,495,383,500,512,497,399,524,0,512
4999,512,495,383,500,511,495,383,500,512,497,399,524,0,512
5009,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5019,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5029,514,496,383,500,509,496,383,500,513,498,399,524,0,512
5039,514,496,383,500,509,496,383,500,513,498,399,524,0,512
5049,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5059,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5069,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5079,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5089,513,495,384,500,510,495,384,500,512,497,399,524,0,512
5099,513,495,384,500,510,495,384,500,512,497,399,524,0,512
5109,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5119,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5129,514,496,383,500,509,496,383,500,513,498,399,524,0,512
5139,514,496,383,500,509,496,383,500,513,498,399,524,0,512
5149,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5159,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5169,513,495,382,500,510,495,382,500,512,497,398,524,0,512
5179,513,495,382,500,510,495,382,500,512,497,398,524,0,512
5189,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5199,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5209,514,496,384,500,509,496,384,500,513,498,399,524,0,512
5219,514,496,384,500,509,496,384,500,513,498,399,524,0,512
5229,514,495,384,500,509,495,384,500,513,497,399,524,0,512
5239,514,495,384,500,509,495,384,500,513,497,399,524,0,512
5249,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5259,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5269,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5279,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5289,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5299,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5309,514,495,384,500,509,495,384,500,513,497,399,524,0,512
5319,514,495,384,500,509,495,384,500,513,497,399,524,0,512
5329,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5339,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5349,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5359,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5369,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5379,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5389,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5399,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5409,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5419,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5429,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5439,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5449,513,495,384,500,510,495,384,500,512,497,399,524,0,512
5459,513,495,384,500,510,495,384,500,512,497,399,524,0,512
5469,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5479,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5489,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5499,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5509,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5519,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5529,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5539,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5549,513,495,384,500,510,495,384,500,512,497,399,524,0,512
5559,513,495,384,500,510,495,384,500,512,497,399,524,0,512
5569,514,496,383,500,509,496,383,500,513,498,399,524,0,512
5579,514,496,383,500,509,496,383,500,513,498,399,524,0,512
5589,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5599,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5609,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5619,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5629,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5639,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5649,513,495,384,500,510,495,384,500,512,497,399,524,0,512
5659,513,495,384,500,510,495,384,500,512,497,399,524,0,512
5669,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5679,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5689,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5699,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5709,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5719,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5729,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5739,514,495,383,500,509,495,383,500,513,497,399,524,0,512
5749,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5759,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5769,514,496,383,500,509,496,383,500,513,498,399,524,0,512
5779,514,496,383,500,509,496,383,500,513,498,399,524,0,512
5789,514,495,384,500,509,495,384,500,513,497,399,524,0,512
5799,514,495,384,500,509,495,384,500,513,497,399,524,0,512
5809,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5819,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5829,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5839,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5849,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5859,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5869,512,495,383,500,511,495,383,500,512,497,399,524,0,512
5879,512,495,383,500,511,495,383,500,512,497,399,524,0,512
5889,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5899,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5909,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5919,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5929,513,496,384,500,510,496,384,500,512,498,399,524,0,512
5939,513,496,384,500,510,496,384,500,512,498,399,524,0,512
5949,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5959,513,496,383,500,510,496,383,500,512,498,399,524,0,512
5969,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5979,513,495,383,500,510,495,383,500,512,497,399,524,0,512
5989,512,496,384,500,511,496,384,500,512,498,399,524,0,512
5999,512,496,384,500,511,496,384,500,512,498,399,524,0,512
6009,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6019,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6029,514,495,383,500,509,495,383,500,513,497,399,524,0,512
6039,514,495,383,500,509,495,383,500,513,497,399,524,0,512
6049,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6059,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6069,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6079,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6089,514,495,383,500,509,495,383,500,513,497,399,524,0,512
6099,514,495,383,500,509,495,383,500,513,497,399,524,0,512
6109,514,495,383,500,509,495,383,500,513,497,399,524,0,512
6119,514,495,383,500,509,495,383,500,513,497,399,524,0,512
6129,513,495,384,500,510,495,384,500,512,497,399,524,0,512
6139,513,495,384,500,510,495,384,500,512,497,399,524,0,512
6149,512,494,383,500,511,494,383,500,512,497,399,524,0,512
6159,512,494,383,500,511,494,383,500,512,497,399,524,0,512
6169,514,495,383,500,509,495,383,500,513,497,399,524,0,512
6179,514,495,383,500,509,495,383,500,513,497,399,524,0,512
6189,513,496,384,500,510,496,384,500,512,498,399,524,0,512
6199,513,496,384,500,510,496,384,500,512,498,399,524,0,512
6209,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6219,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6229,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6239,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6249,513,495,384,500,510,495,384,500,512,497,399,524,0,512
6259,513,495,384,500,510,495,384,500,512,497,399,524,0,512
6269,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6279,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6289,513,495,384,500,510,495,384,500,512,497,399,524,0,512
6299,513,495,384,500,510,495,384,500,512,497,399,524,0,512
6309,513,495,384,500,510,495,384,500,512,497,399,524,0,512
6319,513,495,384,500,510,495,384,500,512,497,399,524,0,512
6329,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6339,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6349,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6359,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6369,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6379,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6389,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6399,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6409,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6419,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6429,513,496,383,500,510,496,383,500,512,498,399,524,0,512
6439,513,496,383,500,510,496,383,500,512,498,399,524,0,512
6449,513,496,383,500,510,496,383,500,512,498,399,524,0,512
6459,513,496,383,500,510,496,383,500,512,498,399,524,0,512
6469,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6479,513,495,383,500,510,495,383,500,512,497,399,524,0,512
6489,514,495,383,500,509,495,383,500,513,497,399,524,0,512
6499,514,495,383,500,509,495,383,500,513,497,399,524,0,512
11042,512,495,383,500,511,495,383,500,512,497,399,524,0,512
11049,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11059,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11069,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11079,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11089,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11099,505,515,637,500,518,515,637,500,506,514,622,524,0,512
11109,505,515,637,500,518,515,637,500,506,514,622,524,0,512
11119,505,514,637,500,518,514,637,500,506,513,622,524,0,512
11129,505,514,637,500,518,514,637,500,506,513,622,524,0,512
11139,505,513,637,500,518,513,637,500,506,512,622,524,0,512
11149,505,513,637,500,518,513,637,500,506,512,622,524,0,512
11159,504,511,636,500,519,511,636,500,505,512,621,524,0,512
11169,504,511,636,500,519,511,636,500,505,512,621,524,0,512
11179,505,511,636,500,518,511,636,500,506,512,621,524,0,512
11189,505,511,636,500,518,511,636,500,506,512,621,524,0,512
11199,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11209,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11219,504,515,636,500,519,515,636,500,505,514,621,524,0,512
11229,504,515,636,500,519,515,636,500,505,514,621,524,0,512
11239,504,515,636,500,519,515,636,500,505,514,621,524,0,512
11249,504,515,636,500,519,515,636,500,505,514,621,524,0,512
11259,504,512,637,500,519,512,637,500,505,512,622,524,0,512
11269,504,512,637,500,519,512,637,500,505,512,622,524,0,512
11279,504,512,636,500,519,512,636,500,505,512,621,524,0,512
11289,504,512,636,500,519,512,636,500,505,512,621,524,0,512
11299,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11309,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11319,505,514,637,500,518,514,637,500,506,513,622,524,0,512
11329,505,514,637,500,518,514,637,500,506,513,622,524,0,512
11339,505,514,636,500,518,514,636,500,506,513,621,524,0,512
11349,505,514,636,500,518,514,636,500,506,513,621,524,0,512
11359,504,513,637,500,519,513,637,500,505,512,622,524,0,512
11369,504,513,637,500,519,513,637,500,505,512,622,524,0,512
11379,505,512,637,500,518,512,637,500,506,512,622,524,0,512
11389,505,512,637,500,518,512,637,500,506,512,622,524,0,512
11399,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11409,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11419,503,513,636,500,520,513,636,500,505,512,621,524,0,512
11429,503,513,636,500,520,513,636,500,505,512,621,524,0,512
11439,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11449,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11459,504,514,637,500,519,514,637,500,505,513,622,524,0,512
11469,504,514,637,500,519,514,637,500,505,513,622,524,0,512
11479,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11489,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11499,504,512,637,500,519,512,637,500,505,512,622,524,0,512
11509,504,512,637,500,519,512,637,500,505,512,622,524,0,512
11519,505,511,637,500,518,511,637,500,506,512,622,524,0,512
11529,505,511,637,500,518,511,637,500,506,512,622,524,0,512
11539,504,511,636,500,519,511,636,500,505,512,621,524,0,512
11549,504,511,636,500,519,511,636,500,505,512,621,524,0,512
11559,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11569,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11579,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11589,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11599,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11609,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11619,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11629,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11639,503,512,636,500,520,512,636,500,505,512,621,524,0,512
11649,503,512,636,500,520,512,636,500,505,512,621,524,0,512
11659,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11669,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11679,505,513,637,500,518,513,637,500,506,512,622,524,0,512
11689,505,513,637,500,518,513,637,500,506,512,622,524,0,512
11699,505,513,636,500,518,513,636,500,506,512,621,524,0,512
11709,505,513,636,500,518,513,636,500,506,512,621,524,0,512
11719,504,512,637,500,519,512,637,500,505,512,622,524,0,512
11729,504,512,637,500,519,512,637,500,505,512,622,524,0,512
11739,505,512,636,500,518,512,636,500,506,512,621,524,0,512
11749,505,512,636,500,518,512,636,500,506,512,621,524,0,512
11759,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11769,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11779,503,514,636,500,520,514,636,500,505,513,621,524,0,512
11789,503,514,636,500,520,514,636,500,505,513,621,524,0,512
11799,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11809,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11819,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11829,504,514,636,500,519,514,636,500,505,513,621,524,0,512
11839,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11849,504,513,636,500,519,513,636,500,505,512,621,524,0,512
11859,504,511,636,500,519,511,636,500,505,512,621,524,0,512
11869,504,511,636,500,519,511,636,500,505,512,621,524,0,512
11879,504,512,636,500,519,512,636,500,505,512,621,524,0,512
11889,504,512,636,500,519,512,636,500,505,512,621,524,0,512
11899,504,513,635,500,519,513,635,500,505,512,620,524,0,512
11909,504,513,635,500,519,513,635,500,505,512,620,524,0,512
11919,505,512,637,500,518,512,637,500,506,512,622,524,0,512
11929,505,512,637,500,518,512,637,500,506,512,622,524,0,512
11939,505,512,637,500,518,512,637,500,506,512,622,524,0,512
11949,505,512,637,500,518,512,637,500,506,512,622,524,0,512
11959,504,512,636,500,519,512,636,500,505,512,621,524,0,512
11969,504,512,636,500,519,512,636,500,505,512,621,524,0,512
11979,504,511,637,500,519,511,637,500,505,512,622,524,0,512
11989,504,511,637,500,519,511,637,500,505,512,622,524,0,512
11999,504,513,636,500,519,513,636,500,505,512,621,524,0,512
12009,504,513,636,500,519,513,636,500,505,512,621,524,0,512
12019,504,513,636,500,519,513,636,500,505,512,621,524,0,512
12029,504,513,636,500,519,513,636,500,505,512,621,524,0,512
12039,504,513,636,500,519,513,636,500,505,512,621,524,0,512
12049,504,513,636,500,519,513,636,500,505,512,621,524,0,512
12059,504,512,636,500,519,512,636,500,505,512,621,524,0,512
12069,504,512,636,500,519,512,636,500,505,512,621,524,0,512
12079,504,511,636,500,519,511,636,500,505,512,621,524,0,512
12089,504,511,636,500,519,511,636,500,505,512,621,524,0,512
12099,504,511,636,500,519,511,636,500,505,512,621,524,0,512
12109,504,511,636,500,519,511,636,500,505,512,621,524,0,512
12119,505,511,637,500,518,511,637,500,506,512,622,524,0,512
12129,505,511,637,500,518,511,637,500,506,512,622,524,0,512
12139,505,512,636,500,518,512,636,500,506,512,621,524,0,512
12149,505,512,636,500,518,512,636,500,506,512,621,524,0,512
12159,505,514,636,500,518,514,636,500,506,513,621,524,0,512
12169,505,514,636,500,518,514,636,500,506,513,621,524,0,512
12179,504,514,636,500,519,514,636,500,505,513,621,524,0,512
12189,504,514,636,500,519,514,636,500,505,513,621,524,0,512
12199,503,514,636,500,520,514,636,500,505,513,621,524,0,512
12209,503,514,636,500,520,514,636,500,505,513,621,524,0,512
12219,504,512,636,500,519,512,636,500,505,512,621,524,0,512
12229,504,512,636,500,519,512,636,500,505,512,621,524,0,512
12239,505,510,636,500,518,510,636,500,506,511,621,524,0,512
12249,505,510,636,500,518,510,636,500,506,511,621,524,0,512
