# 2024-04-15_DS3-CECHZC2E-A1_PS3_plugin.pcap  (source: D:\FOSS\GameControllerResearch, not in this repo)
# frame  time        setup             dir  payload
  2253   -3.708907  SET_IDLE     ? 0x00 len=0   OUT  
  3417   -3.701679  GET_REPORT   Feature 0x01 len=64  IN   00 01 04 00 08 0c 01 02 18 18 18 18 09 0a 10 11 12 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 04 00 01 02 07 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  4448   -3.695336  GET_REPORT   Feature 0xF2 len=64  IN   f2 ff ff 00 00 07 04 xx xx xx 00 03 50 81 d8 01 8a 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 04 00 01 02 07 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  5630   -3.688227  GET_REPORT   Feature 0xF5 len=64  IN   01 00 8c 7c b5 xx xx xx xx xx 00 03 50 81 d8 01 8a 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 04 00 01 02 07 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  6723   -3.681658  GET_REPORT   Feature 0xF5 len=64  IN   01 00 8c 7c b5 xx xx xx xx xx 00 03 50 81 d8 01 8a 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 04 00 01 02 07 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  7814   -3.674789  SET_REPORT   Feature 0xEF len=48  OUT  00 00 00 00 03 01 a0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  8233   -3.671310  GET_REPORT   Feature 0xEF len=64  IN   00 ef 04 00 08 03 01 a0 00 00 00 00 00 00 00 00 00 01 fc 01 8d 01 f7 01 83 01 ff 01 8c 02 09 00 77 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  9258   -3.664388  SET_REPORT   Feature 0xEF len=48  OUT  00 00 00 00 03 01 b0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  9676   -3.661840  GET_REPORT   Feature 0xEF len=64  IN   00 ef 04 00 08 03 01 b0 00 00 00 00 00 00 00 00 00 02 6c 02 62 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 10707   -3.654885  GET_REPORT   Feature 0xF8 len=64  IN   00 01 00 00 08 03 01 b0 00 00 00 00 00 00 00 00 00 02 6c 02 62 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 11786   -3.647712  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 12291   -3.644032  GET_REPORT   Feature 0xF7 len=64  IN   01 00 7f 02 ce 01 f1 ff 14 33 02 00 00 00 00 00 00 02 02 02 00 03 00 00 02 00 00 02 62 01 02 01 5e 00 32 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 24212   -0.035065  SET_REPORT   Feature 0xF4 len=4   OUT  42 0c 00 00
 24576   -0.031539  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 ff 77 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 25376   -0.024038  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 ff 77 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 41290    4.941576  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 ff 77 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 54499    8.936157  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 ff 77 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 57984    9.913506  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 ff 77 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 74223   14.886328  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 ff 77 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 84310   17.894785  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 ff 77 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00

