# 2024-04-15_DS3-CECHZC2E-B1_PS3_plugin.pcap  (source: D:\FOSS\GameControllerResearch, not in this repo)
# frame  time        setup             dir  payload
  2236    0.161157  SET_IDLE     ? 0x00 len=0   OUT  
  3442    0.168876  GET_REPORT   Feature 0x01 len=64  IN   00 01 04 01 03 0c 01 02 18 18 18 18 09 0a 10 11 12 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 03 00 01 02 00 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  4475    0.176341  GET_REPORT   Feature 0xF2 len=64  IN   f2 ff ff 00 44 d8 32 xx xx xx 00 03 50 81 d8 01 8a 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 03 00 01 02 00 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  5653    0.184498  GET_REPORT   Feature 0xF5 len=64  IN   01 00 8c 7c b5 xx xx xx xx xx 00 03 50 81 d8 01 8a 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 03 00 01 02 00 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  6744    0.191155  GET_REPORT   Feature 0xF5 len=64  IN   01 00 8c 7c b5 xx xx xx xx xx 00 03 50 81 d8 01 8a 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 03 00 01 02 00 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  7839    0.197568  SET_REPORT   Feature 0xEF len=48  OUT  00 00 00 00 03 01 a0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  8255    0.200106  GET_REPORT   Feature 0xEF len=64  IN   00 ef 04 01 03 03 01 a0 00 00 00 00 00 00 00 00 00 01 fc 01 8b 01 fb 01 8e 02 01 01 92 01 e8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  9284    0.207468  SET_REPORT   Feature 0xEF len=48  OUT  00 00 00 00 03 01 b0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  9705    0.211187  GET_REPORT   Feature 0xEF len=64  IN   00 ef 04 01 03 03 01 b0 00 00 00 00 00 00 00 00 00 02 70 02 67 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 10732    0.218459  GET_REPORT   Feature 0xF8 len=64  IN   00 01 00 00 03 03 01 b0 00 00 00 00 00 00 00 00 00 02 70 02 67 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 11807    0.225116  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 12314    0.228285  GET_REPORT   Feature 0xF7 len=64  IN   01 00 1e 02 fa 01 01 ff 14 33 00 00 00 00 00 00 00 02 02 02 00 03 00 00 02 00 00 02 62 01 02 01 5e 00 32 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 33112    6.786217  SET_REPORT   Feature 0xF4 len=4   OUT  42 0c 00 00
 33476    6.788816  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 49424   11.761859  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 27 10 32 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 65375   16.735370  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 27 10 32 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 81334   21.708554  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 27 10 32 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 92188   25.046952  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 92679   25.050138  SET_REPORT   Feature 0xF4 len=4   OUT  42 0b 00 00

