# 2024-04-15_DS3-CECHZC2U-A2_PS3_plugin.pcap  (source: D:\FOSS\GameControllerResearch, not in this repo)
# frame  time        setup             dir  payload
   729    0.136755  SET_IDLE     ? 0x00 len=0   OUT  
  1355    0.140837  GET_REPORT   Feature 0x01 len=64  IN   00 01 04 00 0b 0c 01 02 18 18 18 18 09 0a 10 11 12 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 04 00 01 02 07 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  1445    0.141643  GET_REPORT   Feature 0xF2 len=64  IN   f2 ff ff 00 ac 7a 4d xx xx xx 00 03 55 03 c3 01 8a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  1539    0.142509  GET_REPORT   Feature 0xF5 len=64  IN   01 00 00 1b dc xx xx xx 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  1623    0.143394  SET_REPORT   Feature 0xF5 len=8   OUT  01 00 8c 7c b5 xx xx xx
 12292    0.207761  GET_REPORT   Feature 0xF5 len=64  IN   01 00 8c 7c b5 xx xx xx 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 12380    0.208630  SET_REPORT   Feature 0xEF len=48  OUT  00 00 00 00 03 01 a0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 12466    0.209610  GET_REPORT   Feature 0xEF len=64  IN   00 ef 04 00 0b 03 01 a0 00 00 00 00 00 00 00 00 00 01 fb 01 8b 01 fe 01 8d 01 ff 01 90 02 09 00 7f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 12554    0.210507  SET_REPORT   Feature 0xEF len=48  OUT  00 00 00 00 03 01 b0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 13442    0.216962  GET_REPORT   Feature 0xEF len=64  IN   00 ef 04 00 0b 03 01 b0 00 00 00 00 00 00 00 00 00 02 6c 02 6e 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 13528    0.217808  GET_REPORT   Feature 0xF8 len=64  IN   00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 13608    0.218662  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 13771    0.220467  GET_REPORT   Feature 0xF7 len=64  IN   01 00 00 00 fb 01 00 ff 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 29206    5.323024  SET_REPORT   Feature 0xF4 len=4   OUT  42 0c 00 00
 29292    5.324145  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 ff 7f 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 29488    5.337864  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 ff 7f 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 45083   10.297488  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 ff 7f 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 27 10 32 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 57697   14.298855  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 ff 7f 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 27 10 32 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 60869   15.270940  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 ff 7f 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 27 10 32 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 64974   16.538989  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 65131   16.540395  SET_REPORT   Feature 0xF4 len=4   OUT  42 0b 00 00

