# 2024-04-15_DS3-SIXAXIS_PS3_plugin.pcap  (source: D:\FOSS\GameControllerResearch, not in this repo)
# frame  time        setup             dir  payload
  2936    0.162667  SET_IDLE     ? 0x00 len=0   OUT  
  6736    0.186225  GET_REPORT   Feature 0x01 len=64  IN   00 01 02 00 03 08 01 02 17 17 17 17 09 0a 00 00 00 00 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  7940    0.193922  GET_REPORT   Feature 0xF2 len=64  IN   f2 ff ff 00 00 19 c1 xx xx xx 00 03 40 80 18 01 8a 00 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 10057    0.208331  GET_REPORT   Feature 0xF5 len=64  IN   01 00 00 1b dc xx xx xx xx xx 00 03 40 80 18 01 8a 00 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 12132    0.222248  SET_REPORT   Feature 0xF5 len=8   OUT  01 00 8c 7c b5 xx xx xx
 16492    0.249308  GET_REPORT   Feature 0xF5 len=64  IN   01 00 8c 7c b5 xx xx xx xx xx 00 03 40 80 18 01 8a 00 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 01 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 17902    0.258544  SET_REPORT   Feature 0xEF len=48  OUT  00 00 00 00 03 01 a0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 19736    0.270025  GET_REPORT   Feature 0xEF len=64  IN   00 ef 02 00 03 03 01 a0 00 00 00 00 00 00 00 00 00 02 09 01 9b 02 06 01 94 01 f3 01 85 02 01 00 75 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 21758    0.282786  SET_REPORT   Feature 0xEF len=48  OUT  00 00 00 00 03 01 b0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 23542    0.294482  GET_REPORT   Feature 0xEF len=64  IN   00 ef 02 00 03 03 01 b0 00 00 00 00 00 00 00 00 00 02 7d 02 78 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 24819    0.303247  GET_REPORT   Feature 0xF8 len=64  IN   00 01 00 00 03 03 01 b0 00 00 00 00 00 00 00 00 00 02 7d 02 78 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 26473    0.314404  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 28494    0.326803  GET_REPORT   Feature 0xF7 len=64  IN   01 00 00 00 00 00 00 ff 00 00 00 00 0a 01 ea 00 00 02 02 02 00 03 00 00 02 04 03 02 62 01 02 01 5e 00 32 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 46572    5.801464  SET_REPORT   Feature 0xF4 len=4   OUT  42 0c 00 00
 47886    5.810055  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 ff 75 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 49734    5.829696  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 ff 75 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 66780   10.780499  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 ff 75 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 27 10 32 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 80974   14.787890  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 ff 75 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 27 10 32 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 85714   15.752088  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 ff 75 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 27 10 32 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 93450   17.689736  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 95275   17.701007  SET_REPORT   Feature 0xF4 len=4   OUT  42 0b 00 00

