# 2024-05-10_DS3-CECHZC2E-A1_PS3_Bluetooth_Pairing.pcap  (source: D:\FOSS\GameControllerResearch, not in this repo)
# frame  time        setup             dir  payload
  2285   -0.203346  SET_IDLE     ? 0x00 len=0   OUT  
  3489   -0.195937  GET_REPORT   Feature 0x01 len=64  IN   00 01 04 00 08 0c 01 02 18 18 18 18 09 0a 10 11 12 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 04 00 01 02 07 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  4538   -0.188939  GET_REPORT   Feature 0xF2 len=64  IN   f2 ff ff 00 00 07 04 xx xx xx 00 03 50 81 d8 01 8a 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 04 00 01 02 07 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  5732   -0.180544  GET_REPORT   Feature 0xF5 len=64  IN   01 00 00 1b dc xx xx xx xx xx 00 03 50 81 d8 01 8a 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 04 00 01 02 07 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  6847   -0.173936  SET_REPORT   Feature 0xF5 len=8   OUT  01 00 8c 7c b5 xx xx xx
 19528   -0.099638  GET_REPORT   Feature 0xF5 len=64  IN   01 00 8c 7c b5 xx xx xx xx xx 00 03 50 81 d8 01 8a 13 00 00 00 00 04 00 02 02 02 02 00 00 00 04 04 04 04 00 00 04 00 01 02 07 00 17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 20617   -0.093114  SET_REPORT   Feature 0xEF len=48  OUT  00 00 00 00 03 01 a0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 21043   -0.090523  GET_REPORT   Feature 0xEF len=64  IN   00 ef 04 00 08 03 01 a0 00 00 00 00 00 00 00 00 00 01 fc 01 8d 01 f7 01 83 01 ff 01 8c 02 09 00 77 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 22088   -0.083065  SET_REPORT   Feature 0xEF len=48  OUT  00 00 00 00 03 01 b0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 22514   -0.080335  GET_REPORT   Feature 0xEF len=64  IN   00 ef 04 00 08 03 01 b0 00 00 00 00 00 00 00 00 00 02 6c 02 62 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 23563   -0.073623  GET_REPORT   Feature 0xF8 len=64  IN   00 01 00 00 08 03 01 b0 00 00 00 00 00 00 00 00 00 02 6c 02 62 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 24660   -0.067020  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 25171   -0.063384  GET_REPORT   Feature 0xF7 len=64  IN   02 01 de 02 d5 01 05 ff 14 33 00 02 e2 01 d6 00 00 02 02 02 00 03 00 00 02 00 00 02 62 01 02 01 5e 00 32 00 00 00 00 00 00 00 00 00 00 00 00 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 41054    4.855374  SET_REPORT   Feature 0xF4 len=4   OUT  42 0c 00 00
 41424    4.858192  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 ff 77 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 41975    4.877919  SET_REPORT   Output 0x01 len=48  OUT  00 00 00 00 00 ff 77 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 58133    9.830492  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 ff 77 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 27 10 32 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
 71474   13.837007  SET_REPORT   Output 0x01 len=48  OUT  00 96 00 96 00 ff 77 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ff 27 10 32 32 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00

